entry_id,entry_type,relative_path,symbol_or_route,current_owner,business_semantics,phase4_carrier,tracked_state,semantic_status,cleanup_disposition,target_capability,target_capability_status,golden_fixture,contract_tests,reference_scan_status,external_alias_status,delete_commit,notes
legacy:src/app/workline/domain/contracts/six_in_one.py:SixInOne,domain_object,src/app/workline/domain/contracts/six_in_one.py,SixInOne,workline,[phase4] SixInOne 合同,True,already-removed,semantics-covered,moved,material-flow:contracts.six_in_one.SixInOne,mapped,tests/contracts/workline/;tests/architecture/,tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/material_identity.py:MaterialIdentity,domain_object,src/app/workline/domain/material_identity.py,MaterialIdentity,workline,[phase4] Material Identity 业务流程,True,already-removed,semantics-covered,moved,material-flow:contracts.material_identity.MaterialIdentity,mapped,tests/contracts/workline/;tests/architecture/,tests/architecture/test_business_legacy_absence_ledger.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/material_identity.py:MaterialIdentityInput,domain_object,src/app/workline/domain/material_identity.py,MaterialIdentityInput,workline,[phase4] Material Identity 业务流程,True,already-removed,semantics-covered,moved,material-flow:contracts.material_identity.MaterialIdentity,mapped,tests/contracts/workline/;tests/architecture/,tests/architecture/test_business_legacy_absence_ledger.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/material_identity.py:MaterialIdentityResolutionStatus,domain_object,src/app/workline/domain/material_identity.py,MaterialIdentityResolutionStatus,workline,[phase4] Material Identity 业务流程,True,already-removed,semantics-covered,moved,material-flow:contracts.material_identity.MaterialIdentity,mapped,tests/contracts/workline/;tests/architecture/,tests/architecture/test_business_legacy_absence_ledger.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/material_identity.py:hash_material_evidence,domain_object,src/app/workline/domain/material_identity.py,hash_material_evidence,workline,[phase4] Material Identity 业务流程,True,already-removed,semantics-covered,moved,material-flow:contracts.material_identity.MaterialIdentity,mapped,tests/contracts/workline/;tests/architecture/,tests/architecture/test_business_legacy_absence_ledger.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/material_identity.py:material_identity_input_to_hash,domain_object,src/app/workline/domain/material_identity.py,material_identity_input_to_hash,workline,[phase4] Material Identity 业务流程,True,already-removed,semantics-covered,moved,material-flow:contracts.material_identity.MaterialIdentity,mapped,tests/contracts/workline/;tests/architecture/,tests/architecture/test_business_legacy_absence_ledger.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/ng_reason.py:NgReasonCatalog,domain_object,src/app/workline/domain/ng_reason.py,NgReasonCatalog,workline,[phase4] NG 退货/处理业务流程,True,already-removed,semantics-covered,moved,material-flow:ng_return_item_service.NgReturnItemService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py;tests/contracts/workline/test_runtime_hold_contract.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。
legacy:src/app/workline/domain/ng_reason.py:NgReasonDefinition,domain_object,src/app/workline/domain/ng_reason.py,NgReasonDefinition,workline,[phase4] NG 退货/处理业务流程,True,already-removed,semantics-covered,moved,material-flow:ng_return_item_service.NgReturnItemService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py;tests/contracts/workline/test_runtime_hold_contract.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。
legacy:src/app/workline/domain/ng_reason.py:NgReasonSource,domain_object,src/app/workline/domain/ng_reason.py,NgReasonSource,workline,[phase4] NG 退货/处理业务流程,True,already-removed,semantics-covered,moved,material-flow:ng_return_item_service.NgReturnItemService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py;tests/contracts/workline/test_runtime_hold_contract.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。
legacy:src/app/workline/domain/ng_reason.py:build_ng_reason_catalog,domain_object,src/app/workline/domain/ng_reason.py,build_ng_reason_catalog,workline,[phase4] NG 退货/处理业务流程,True,already-removed,semantics-covered,moved,material-flow:ng_return_item_service.NgReturnItemService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py;tests/contracts/workline/test_runtime_hold_contract.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。
